Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F1	Abundances Count: F5: 128C, Sample, n/a, Earth_F1	Modifications
A0A0B4K692	Neprilysin-2	4.01	3	4	3	19375.0708	4	
A0A0B4K7J2	E3 SUMO-protein ligase RanBP2	3.79	10	14	10	48424.080200000004	10	
A0A0B4KGY6	RNA-binding protein Pasilla	23.21	19	70	19	1738785.98804	64	
A0A0B7P9G0	Unextended protein	5.4	5	6	5	28477.238169999997	5	
A0A126GUP6	Melanization protease 1	23.0	8	16	7	82417.12615	13	
A0A1F4	Protein eyes shut	9.56	22	68	0	557543.17139	59	
A1Z6H7	Nuclear pore membrane glycoprotein 210	2.93	6	7	6	10609.44816	5	
A1Z6S7	GTPase-GDP dissociation stimulator vimar	14.17	11	23	10	183124.19004000002	19	
A1Z713	Intermembrane lipid transfer protein Vps13	0.27	1	1	1	1752.3462	1	
A1Z7G7	Latrophilin Cirl	0.41	1	1	0	2047.2188	1	
A1Z7T0	Serine/threonine-protein kinase N	1.34	2	3	0	489.56635	1	
A1Z830	28S rRNA (uridine-N(3))-methyltransferase	9.07	4	4	1	7833.34525	4	
A1Z877	Nidogen	24.81	29	66	29	672266.52448	61	
A1Z897	Succinate dehydrogenase assembly factor 2-B, mitochondrial	31.41	2	2	0	13254.9774	2	
A1Z8D0	Periodic tryptophan protein 1 homolog	6.75	3	3	3	1761.501	1	
A1Z8P9	Nucleoprotein TPR	19.69	51	83	0	255896.58433	64	
A1Z9A2	UPF0587 protein CG4646	30.67	5	10	0	136418.796	10	
A1Z9A8	Small ribosomal subunit protein mS39	6.75	5	5	5	50285.938599999994	5	
A1Z9E2	Protein lin-54 homolog	24.95	21	43	0	193073.52541	37	
A1Z9X0	Atypical protein kinase C	2.97	2	2	0	11432.563	2	
A1ZA47	PDZ and LIM domain protein Zasp	26.48	51	158	0	109499.36174000001	31	
A1ZA77	Transmembrane protein 208	10.92	2	5	2	51600.06883999999	4	
A1ZAJ2	Kinesin-like protein unc-104	3.41	6	6	0	9630.94613	4	
A1ZAX1	Eukaryotic translation initiation factor 3 subunit C	9.78	10	12	0	25432.23066	9	
A1ZBT5	Mediator of RNA polymerase II transcription subunit 8	11.11	3	3	3	7472.63784	2	
A2VEI2	Calcium uptake protein 1 homolog, mitochondrial	3.05	2	2	2	13736.1973	2	
A4VCL2	Extracellular serine/threonine protein CG31145	3.79	2	2	0	10458.4386	2	
A8DYH2	Ubiquitin-fold modifier 1	66.67	4	8	0	196632.2514	6	
A8DYP0	Protein Obscurin	2.11	10	12	10	54251.619959999996	9	
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	337402.0915	9	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	1829499.66713	86	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	283821.18063	18	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	617710.82306	51	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	594263.42969	31	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	78962.169	4	
C0HL66	Histone H3.3A	52.94	8	63	0	98106.2521	5	
C0HLZ9	Baramicin A1	15.56	4	9	0	46344.860360000006	8	
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	642936.13622	29	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	3898.31204	4	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	63278.97377	11	
M9NDE3	Protein bark beetle	3.91	13	19	13	52528.3967	16	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	5613743.55617	102	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	158968.7796	6	
O01367	Protein held out wings	21.48	8	10	0	45039.495800000004	9	
O01382	Caspase drICE	17.99	5	7	4	2529.22015	4	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	382830.10199999996	8	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	3912743.49124	105	
O02194	Presenilin homolog	5.73	3	5	0	6198.259	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	306601.4525	20	
O02649	Heat shock protein 60A	73.47	40	183	25	7735312.3944	154	
O15943	Neural-cadherin	14.89	49	91	2	604331.2744	77	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	60020.04765	10	
O17444	Vesicular acetylcholine transporter	11.25	5	6	5	39738.7958	3	
O17445	Large ribosomal subunit protein eL15	12.25	3	8	0	28427.04322	6	
O18333	Ras-related protein Rab-2	18.31	5	10	5	46001.6782	9	
O18334	Ras-related protein Rab6	18.75	5	16	0	11391.814460000001	3	
O18373	Inactive selenide, water dikinase-like protein	23.87	9	27	9	555187.33149	27	
O18388	Importin subunit beta	3.73	4	6	0	6594.57928	3	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	89.02	18	147	18	5985084.40295	109	
O18413	26S proteasome regulatory subunit 8	36.54	15	53	6	329887.6251	30	
O18640	Small ribosomal subunit protein RACK1	13.52	5	12	0	70274.37418	11	
O44081	H/ACA ribonucleoprotein complex subunit 4	6.3	4	4	0	44472.6352	3	
O44342	Protein windbeutel	19.46	5	10	0	45324.8994	8	
O44386	Integrin alpha-PS3	11.84	14	20	12	93074.76658	17	
O44437	Small nuclear ribonucleoprotein Sm D3	11.26	2	2	2	1685.736	1	
O46037	Vinculin	53.69	50	137	0	2449968.76455	121	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	34790.3376	4	
O46098	LYR motif-containing protein 4 homolog	36.96	4	10	4	108188.3848	6	
O46106	Splicing factor 3A subunit 3	9.15	5	10	5	119059.4261	9	
O61231	Large ribosomal subunit protein uL16	43.12	9	25	0	235578.91632999998	21	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	4938.832399999999	3	
O61307	Teneurin-m	0.66	2	2	0	4925.8669	2	
O61443	Mitogen-activated protein kinase p38b	7.67	3	6	2	22025.684500000003	4	
O61491	Flotillin-1	48.83	23	81	23	1372282.47206	70	
O61722	PRL-1 phosphatase	44.32	7	23	7	440761.92504	13	
O62619	Pyruvate kinase	69.23	27	80	27	3356051.24289	64	
O62621	Coatomer subunit beta'	3.17	3	4	3	7115.96163	4	
O76206	Putative riboflavin kinase	49.02	7	15	0	511830.17535000003	12	
O76454	Pterin-4-alpha-carbinolamine dehydratase	23.96	3	7	3	243010.8724	7	
O76742	Ras-related protein Rab7	28.5	6	12	6	128687.63424999999	11	
O76878	RILP-like protein homolog	9.71	5	10	0	74579.98637	10	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	18.35	7	17	7	108439.7191	15	
O76927	Small ribosomal subunit protein eS21	50.6	5	22	0	333257.89843999996	16	
O77051	Transcription factor E2F2	22.97	9	14	0	31768.4201	10	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	5	3	28210.2663	4	
O77277	Torsin-like protein	12.65	5	8	0	54788.0787	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	3.68	2	2	2	4996.411599999999	2	
O77460	Inorganic pyrophosphatase	61.24	15	67	1	40772.24	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	17	27	0	82766.5115	23	
O96690	Protein PDF	23.53	1	1	1	3695.0527	1	
O96827	Probable elongation factor 1-beta	83.78	18	82	0	3250408.51506	65	
O97067	Probable peptidyl-tRNA hydrolase 2	31.18	5	9	0	33936.04075	7	
O97125	Heat shock protein 68	24.09	13	89	6	130297.8076	20	
O97172	UPF0729 protein CG18508	29.29	3	8	0	83424.4088	7	
O97394	Protein sidekick	1.89	4	5	0	4406.403	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	6	3	28749.2866	5	
O97477	Inositol-3-phosphate synthase	33.81	15	58	15	1122324.80491	47	
P00334	Alcohol dehydrogenase	88.28	21	200	21	34116565.84939	149	
P00408	Cytochrome c oxidase subunit 2	33.77	7	40	7	2012086.5203	34	
P00522	Tyrosine-protein kinase Abl	3.33	4	6	0	7076.5103899999995	6	
P02255	Histone H1	14.45	3	6	0	41796.746699999996	5	
P02283	Histone H2B	56.91	8	70	8	1697909.84525	55	
P02299	Histone H3	52.94	8	67	2	1927497.63558	55	
P02515	Heat shock protein 22	40.8	8	18	8	357399.39655	14	
P02516	Heat shock protein 23	84.41	16	83	0	3341431.8764199996	70	
P02517	Heat shock protein 26	57.69	10	30	0	909296.29419	24	
P02518	Heat shock protein 27	44.13	9	21	0	293763.39327	20	
P02572	Actin-42A	64.1	25	768	2	51543049.00599	615	
P02574	Actin, larval muscle	65.96	25	672	0	1303285.2311999998	22	
P02828	Heat shock protein 83	48.4	33	148	0	5100175.861	138	
P02843	Vitellogenin-1	70.84	32	265	0	29014166.15757	198	
P02844	Vitellogenin-2	59.28	26	187	0	16826827.123549998	132	
P04197	Myb protein	3.81	3	3	0	1531.1031	2	
P04359	Large ribosomal subunit protein eL32	33.58	5	17	5	393240.21686	15	
P04388	Ras-like protein 2	13.02	2	10	2	57652.9781	9	
P05031	Aromatic-L-amino-acid decarboxylase	10.78	5	9	5	19984.05646	6	
P05205	Heterochromatin protein 1	36.89	8	22	8	219000.5016	20	
P05303	Elongation factor 1-alpha 2	68.4	29	177	0	3020122.03735	31	
P05389	Large ribosomal subunit protein P2	31.86	4	18	4	893767.103	16	
P05552	Transcription factor Adf-1	7.63	2	5	0	47900.284999999996	5	
P05661	Myosin heavy chain, muscle	50.46	119	519	1	51639.54802	11	
P05812	Heat shock protein 67B1	12.13	5	7	5	13648.90024	5	
P06002	Opsin Rh1	4.56	2	8	2	40876.6454	6	
P06603	Tubulin alpha-1 chain	64.67	27	183	0	19316584.19721	137	
P06604	Tubulin alpha-2 chain	38.75	18	147	1	3620.6553	1	
P06607	Vitellogenin-3	82.14	33	299	0	29050084.933280002	262	
P06742	Myosin light chain alkali	56.77	11	71	0	11702106.08564	46	
P07207	Neurogenic locus Notch protein	0.48	1	1	0	4570.069	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	70.18	22	133	9	2192118.18382	40	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	156	0	11612554.94994	129	
P07665	Serendipity locus protein beta	8.43	4	5	0	2422.3175	2	
P07668	Choline O-acetyltransferase	7.63	5	6	5	17840.6767	4	
P07764	Fructose-bisphosphate aldolase	93.63	43	422	0	29044274.32937	338	
P08111	Lethal(2) giant larvae protein	5.43	7	9	0	21766.54165	7	
P08120	Collagen alpha-1(IV) chain	5.96	7	22	7	303470.32876	21	
P08144	Alpha-amylase A	18.22	8	15	0	157476.29895	12	
P08171	Esterase-6	13.24	9	22	0	189872.36704	22	
P08182	Casein kinase II subunit beta	38.72	8	38	2	754664.36545	31	
P08570	Large ribosomal subunit protein P1	75.89	5	33	0	1687036.66607	28	
P08645	Ras-related protein Rap1	25.54	5	15	0	190964.1263	15	
P08646	Ras-like protein 1	30.69	4	10	4	134834.16863	8	
P08736	Elongation factor 1-alpha 1	70.84	34	198	17	16156259.29001	173	
P08761	Peptide methionine sulfoxide reductase	27.64	6	13	0	125522.36827	13	
P08879	Nucleoside diphosphate kinase	69.28	8	136	0	6749401.776980001	114	
P08928	Lamin	67.36	50	193	49	4641419.47267	165	
P08985	Histone H2A.v	42.55	10	47	8	1031244.54873	31	
P09040	Drosulfakinins	21.99	3	3	3	55720.84299999999	3	
P09180	Large ribosomal subunit protein uL4	47.13	20	61	20	817834.36723	49	
P09208	Insulin-like receptor	3.03	8	10	8	6925.138800000001	5	
P09491	Tropomyosin-2	76.76	34	245	2	91762.02055	6	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	35.63	4	16	4	115971.14692	13	
P10180	Homeobox protein cut	0.46	1	3	0	86891.74859999999	3	
P10379	Protein unzipped	20.29	8	28	0	436660.2853	26	
P10552	FMRFamide-related peptides	2.31	1	3	1	43493.284	2	
P10676	Neither inactivation nor afterpotential protein C	25.98	40	88	11	748098.0019	75	
P10981	Actin-87E	76.33	30	777	0	1214418.27123	37	
P10987	Actin-5C	64.63	27	797	0	703418.15763	27	
P11046	Laminin subunit beta-1	21.09	39	84	39	1251606.85306	67	
P11146	Heat shock 70 kDa protein cognate 2	13.9	6	46	1	40964.98	1	
P11147	Heat shock 70 kDa protein cognate 4	77.73	48	406	0	26575480.96892	351	
P11584	Integrin beta-PS	18.32	17	45	0	312560.98239	37	
P12024	Chaoptin	30.95	35	88	0	2078996.33867	74	
P12080	Integrin alpha-PS2	11.53	17	39	17	217926.54926	33	
P12370	cAMP-dependent protein kinase catalytic subunit 1	45.61	16	49	15	1033541.8006900001	37	
P12426	Adenine phosphoribosyltransferase	14.29	3	5	0	14327.66153	3	
P12613	T-complex protein 1 subunit alpha	23.7	13	37	0	459348.02876	32	
P12881	Proteasome subunit alpha type-1	49.82	13	50	0	535003.53105	41	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	21.85	6	14	1	142112.34493	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	12	0	192357.41206	9	
P13060	Eukaryotic translation elongation factor 2	39.22	27	75	27	796049.42919	67	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	34.7	38	97	0	1561006.3472499999	82	
P13395	Spectrin alpha chain	65.3	140	542	0	14736691.05683	458	
P13469	DNA-binding protein modulo	4.06	2	2	0	8353.049	2	
P13496	Dynactin subunit 1	14.23	21	45	21	167391.11052	35	
P13607	Sodium/potassium-transporting ATPase subunit alpha	38.14	36	144	1	4605078.8913	124	
P13677	Protein kinase C, eye isozyme	12.57	9	13	9	81776.6358	13	
P13678	Protein kinase C	5.01	4	4	0	8509.009	2	
P14199	Protein ref(2)P	13.19	7	32	7	252656.52684	30	
P14318	Muscle-specific protein 20	80.43	16	103	16	3940007.0413100002	80	
P14484	Pupal cuticle protein	27.17	5	39	5	384682.79023	30	
P14599	Amyloid-beta-like protein	1.92	2	2	0	630.07666	1	
P15007	Enolase	78.0	40	271	1	38568032.95814	236	
P15215	Laminin subunit gamma-1	33.62	53	135	0	1805321.13963	119	
P15330	Embryonic polarity protein dorsal	1.4	2	3	0	2885.1697999999997	2	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	84	1	2300014.78688	80	
P15364	Protein amalgam	15.92	5	11	0	53262.66592	9	
P15372	Phosrestin-2	67.58	19	65	0	1383569.1676399999	60	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	20.68	4	10	4	156487.16816	7	
P16378	G protein alpha o subunit	29.1	11	46	7	696788.00295	42	
P16554	Protein numb	15.47	8	12	0	54957.42014	10	
P16568	Protein bicaudal D	23.4	19	27	0	218470.2044	26	
P16620	Tyrosine-protein phosphatase 69D	5.88	9	13	9	51337.94216	11	
P16621	Tyrosine-protein phosphatase Lar	1.43	3	6	0	3188.9885999999997	3	
P16914	Protein elav	30.23	13	43	0	582041.50496	36	
P17210	Kinesin heavy chain	34.56	34	100	34	937412.8221400001	86	
P17276	Protein henna	44.69	15	32	0	720464.04667	27	
P17336	Catalase	41.11	16	61	16	1023380.34771	45	
P17704	Small ribosomal subunit protein eS17	69.47	10	30	10	844757.9277499999	29	
P17719	Dihydrofolate reductase	4.4	1	2	1	7877.9169999999995	2	
P18053	Proteasome subunit alpha type-4	40.53	10	51	8	1299783.22463	41	
P18173	Glucose dehydrogenase [FAD, quinone]	5.76	4	5	0	7859.812400000001	4	
P18431	Protein kinase shaggy	29.77	14	58	0	1675236.0736	49	
P18432	Myosin regulatory light chain 2	86.94	19	167	19	9551824.25422	158	
P18459	Tyrosine 3-monooxygenase	6.91	5	11	0	81942.69074	11	
P18824	Armadillo segment polarity protein	14.47	12	25	0	146345.57857	18	
P19107	Phosrestin-1	77.56	33	263	33	12737675.12235	239	
P19109	ATP-dependent RNA helicase p62	22.67	17	36	0	123359.21571	28	
P19334	Transient receptor potential protein	4.39	6	9	4	88858.78646999999	7	
P19339	Protein sex-lethal	4.52	2	4	0	7778.595980000001	4	
P19351	Troponin T, skeletal muscle	49.37	30	130	0	116927.6293	8	
P19889	Large ribosomal subunit protein uL10	48.58	12	46	0	4923806.5396	40	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	5	8	3	22989.115299999998	3	
P20153	Protein ultraspiracle	5.91	4	7	0	24860.86623	6	
P20228	Glutamate decarboxylase	27.84	12	34	0	306128.8594	25	
P20232	Transcription elongation factor S-II	42.81	13	19	0	133388.3718	11	
P20240	Otefin	29.95	11	22	11	91068.5414	15	
P20241	Neuroglian	21.89	29	84	0	943755.64379	77	
P20348	Sex-regulated protein janus-A	28.89	4	7	4	178366.064	6	
P20351	Tryptophan 2,3-dioxygenase	7.92	3	4	3	7126.88566	4	
P20385	Chorion transcription factor Cf2	9.8	5	6	0	36995.75744	4	
P20432	Glutathione S-transferase D1	52.15	12	101	9	12408809.46094	90	
P20477	Glutamine synthetase 1, mitochondrial	44.11	16	73	0	3403244.18964	59	
P20478	Glutamine synthetase 2 cytoplasmic	82.38	24	230	0	13502247.94105	204	
P21187	Polyadenylate-binding protein	26.81	14	44	14	113588.34734	33	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	117	18	6120562.95699	97	
P22465	Annexin B10	65.42	20	129	20	4533651.60404	113	
P22769	Proteasome subunit alpha type-7-1	39.36	9	33	8	814064.9410400001	32	
P22813	Heat shock factor protein	7.09	5	6	0	17943.599570000002	5	
P22815	Protein bride of sevenless	1.34	1	1	1	3190.8838	1	
P22979	Heat shock protein 67B3	54.27	8	22	8	469304.41169	17	
P23128	ATP-dependent RNA helicase me31b	5.23	3	7	3	42735.7375	7	
P23226	205 kDa microtubule-associated protein	24.39	23	63	0	458457.55432	51	
P23257	Tubulin gamma-1 chain	5.68	3	4	1	16195.186300000001	3	
P23625	G protein alpha q subunit	54.67	20	124	18	4837979.75706	105	
P23654	Neurotactin	8.87	7	17	0	91351.49192	14	
P23696	Serine/threonine-protein phosphatase PP2A	18.12	5	10	0	82589.94227999999	10	
P23779	Cystatin-like protein	63.49	8	26	8	1715068.7423	22	
P24156	Prohibitin 1	73.91	17	62	0	1366853.23344	51	
P25007	Peptidyl-prolyl cis-trans isomerase	51.98	15	120	10	13643315.521610001	101	
P25160	ADP-ribosylation factor-like protein 1	4.44	1	2	1	8287.935	2	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	40	0	387024.87861	37	
P25171	Regulator of chromosome condensation	10.42	5	9	5	57444.87494	9	
P25172	Protein suppressor 2 of zeste	1.75	2	2	0	3060.10686	2	
P25228	Ras-related protein Rab-3	30.45	6	18	0	139345.76976	5	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	5.69	9	11	9	36176.63466	10	
P25822	Maternal protein pumilio	3.39	5	8	0	26552.6458	7	
P25843	Profilin	88.89	7	27	0	1500842.7752399999	23	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	6	0	299826.376	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	7.69	3	9	0	88603.0936	9	
P26308	Guanine nucleotide-binding protein subunit beta-1	24.71	7	32	0	599547.2461	27	
P26686	Serine-arginine protein 55	18.35	8	14	0	126914.6817	11	
P27716	Innexin inx1	11.33	5	7	0	39810.3465	6	
P27779	Pupal cuticle protein Edg-78E	38.52	3	20	0	88881.72038	17	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.9	9	11	9	33676.27457	7	
P29052	Transcription initiation factor IIB	13.65	5	13	0	57477.379	9	
P29310	14-3-3 protein zeta	69.35	18	328	0	14748991.18903	280	
P29327	Small ribosomal subunit protein eS6	26.21	6	24	2	566383.9804	22	
P29413	Calreticulin	57.64	21	79	0	3948955.2301600003	71	
P29613	Triosephosphate isomerase	77.73	17	135	16	11713598.98498	113	
P29742	Clathrin heavy chain	8.76	16	22	0	60852.11012	14	
P29746	Protein bangles and beads	59.28	23	66	23	1159793.57152	59	
P29829	Guanine nucleotide-binding protein subunit beta-2	48.55	16	75	16	2201118.55274	67	
P29843	Heat shock 70 kDa protein cognate 1	25.59	15	100	2	11571.287400000001	5	
P29844	Endoplasmic reticulum chaperone BiP	65.7	42	234	0	6948066.68443	137	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	206	0	6494317.99762	167	
P30432	Furin-like protease 2	2.44	4	6	0	8536.51215	4	
P31009	Small ribosomal subunit protein uS5	41.2	11	51	0	885196.82614	41	
P31409	V-type proton ATPase subunit B	52.45	21	89	0	1667837.24579	73	
P32100	Large ribosomal subunit protein uL30	45.24	15	40	0	775101.1787500001	32	
P32234	Guanylate binding protein 128up	11.14	4	4	3	63445.164000000004	3	
P32392	Actin-related protein 3	16.99	7	15	7	85455.09966	12	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	15.06	7	17	7	38800.3313	13	
P33438	Glutactin	23.98	23	64	0	429569.96393	50	
P34082	Fasciclin-2	23.02	17	30	0	163643.7949	24	
P35122	Ubiquitin carboxyl-terminal hydrolase	55.07	9	24	0	806658.07418	22	
P35128	Ubiquitin-conjugating enzyme E2 N	60.93	8	20	0	687880.0839	19	
P35220	Catenin alpha	24.1	22	60	12	418277.72481	53	
P35381	ATP synthase subunit alpha, mitochondrial	73.91	46	498	46	34794833.22031	401	
P35415	Paramyosin, long form	75.2	85	589	0	28859022.66233	465	
P35416	Paramyosin, short form	62.19	47	347	0	1976079.75748	51	
P35421	Phosphoribosylformylglycinamidine synthase	0.59	1	2	1	1873.4717	1	
P35554	Flightin	46.7	7	14	0	96075.04329999999	6	
P35992	Tyrosine-protein phosphatase 10D	4.62	10	11	9	34498.02022	9	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	36.55	21	62	0	2086684.80028	59	
P36188	Troponin I	46.1	16	73	0	3985110.51763	68	
P36241	Large ribosomal subunit protein eL19	24.14	5	17	5	804446.7196	13	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	7.82	4	5	0	2540.88025	4	
P36951	Putative hydroxypyruvate isomerase	43.18	10	27	10	852309.5258	24	
P36958	DNA-directed RNA polymerase II subunit RPB9	5.43	1	1	0	4001.265	1	
P36975	Synaptosomal-associated protein 25	85.38	19	157	17	3745313.29738	103	
P37193	Adrenodoxin-like protein 1, mitochondrial	29.07	4	7	0	274955.63373	7	
P37236	Frequenin-1	56.15	9	52	0	204549.86729	10	
P37276	Dynein heavy chain, cytoplasmic	0.86	5	6	0	8400.20294	3	
P38040	Guanine nucleotide-binding protein subunit gamma-1	77.14	6	36	6	328168.64284	17	
P38979	Small ribosomal subunit protein uS2	81.85	17	57	17	2458860.49949	48	
P39018	Small ribosomal subunit protein eS19A	53.85	11	59	0	2323527.88686	55	
P39736	Puff-specific protein Bx42	12.61	6	12	0	14484.211000000001	6	
P40301	Proteasome subunit alpha type-2	15.81	3	4	3	256927.8875	4	
P40304	Proteasome subunit beta type-1	33.62	7	18	7	231279.60812000002	16	
P40320	S-adenosylmethionine synthase	8.33	4	6	0	41612.221	4	
P40417	Mitogen-activated protein kinase ERK-A	36.17	12	29	7	416016.28827	26	
P40421	Serine/threonine-protein phosphatase rdgC	6.96	5	12	0	34332.30681	11	
P40423	Myosin regulatory light chain sqh	33.91	5	29	0	405903.33423	26	
P40427	Homeobox protein extradenticle	3.72	1	4	0	6131.1889	2	
P40792	Ras-related protein Rac1	22.4	4	22	0	165473.1636	19	
P40793	Cdc42 homolog	27.75	5	16	0	184677.23706	10	
P40796	La protein homolog	30.26	11	26	10	219155.58513	16	
P40797	Protein peanut	12.62	7	32	6	186601.74107000002	27	
P40945	ADP ribosylation factor 4	30.0	4	17	0	3843.4265	2	
P41042	Small ribosomal subunit protein eS4	41.76	12	39	0	673147.87148	32	
P41043	Glutathione S-transferase S1	75.9	13	61	0	4765137.022770001	48	
P41044	Calbindin-32	75.48	25	116	0	5257709.07526	94	
P41073	Zinc finger protein on ecdysone puffs	22.07	14	39	0	203389.90475	28	
P41092	Large ribosomal subunit protein uL15	41.61	7	22	0	420993.75575	18	
P41093	Large ribosomal subunit protein eL20	33.33	7	21	7	306216.9586	20	
P41094	Small ribosomal subunit protein uS13	59.87	15	60	15	1818691.08862	54	
P41126	Large ribosomal subunit protein eL13	48.17	12	57	0	1693563.32672	42	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.45	15	42	0	657765.7655099999	36	
P41375	Eukaryotic translation initiation factor 2 subunit 2	19.87	7	16	7	128048.53779999999	13	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	23.49	10	30	0	377372.23428000003	26	
P41900	General transcription factor IIF subunit 2	8.3	2	2	2	9518.67706	2	
P42207	Septin-1	12.74	5	19	4	31603.0173	5	
P42281	Acyl-CoA-binding protein homolog	73.26	6	30	5	4060633.2212000005	27	
P42325	Neurocalcin homolog	66.32	14	25	14	960931.20385	22	
P42787	Carboxypeptidase D	5.26	8	12	0	75134.1583	10	
P43332	U1 small nuclear ribonucleoprotein A	18.98	5	13	5	91548.86732	12	
P45437	Coatomer subunit beta	7.57	5	10	5	55267.110609999996	9	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	16	118	16	6919959.77807	93	
P45888	Actin-related protein 2	12.53	5	9	5	35210.9322	5	
P45889	Actin-related protein 1	24.47	13	20	13	454946.48907	17	
P46150	Moesin/ezrin/radixin homolog 1	34.6	27	64	0	28023.871	1	
P46222	Large ribosomal subunit protein uL5	21.2	4	19	0	272686.1494	15	
P46223	Large ribosomal subunit protein eL8	33.58	8	36	0	875205.38251	27	
P46415	Alcohol dehydrogenase class-3	18.47	6	12	6	117061.93462	10	
P46461	Vesicle-fusing ATPase 1	39.19	29	83	0	744614.36261	72	
P46824	Kinesin light chain	41.34	24	66	0	978991.1118000001	54	
P47947	Troponin C, isoform 1	20.78	3	33	0	2505119.4178	29	
P47948	Troponin C, isoform 2	27.74	4	7	0	592.0316	1	
P47949	Troponin C, isoform 3	51.61	7	20	0	1184042.5264	19	
P48148	Ras-like GTP-binding protein Rho1	66.67	10	36	10	809805.32747	31	
P48149	Small ribosomal subunit protein uS8A	38.46	6	23	0	660841.97883	19	
P48159	Large ribosomal subunit protein uL14	70.71	8	26	8	592681.0730099999	20	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	60.19	5	36	5	2795157.21149	29	
P48451	Calcineurin subunit B type 1	55.88	7	25	0	146631.0807	4	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	19.88	6	11	0	1010.5168699999999	2	
P48554	Ras-related protein Rac2	26.56	5	20	0	16850.3566	4	
P48555	Ras-related protein Ral-a	43.28	8	20	1	434039.6251	19	
P48588	Small ribosomal subunit protein eS25	8.55	1	6	1	68723.0638	5	
P48596	GTP cyclohydrolase 1	46.91	13	74	13	1257703.72474	53	
P48598	Eukaryotic translation initiation factor 4E1	26.64	4	17	0	181130.05746	17	
P48601	26S proteasome regulatory subunit 4	51.25	22	73	0	933983.48868	53	
P48602	V-type proton ATPase catalytic subunit A isoform 1	55.7	28	113	0	1451602.01476	93	
P48603	F-actin-capping protein subunit beta	20.65	7	16	0	72053.08314	15	
P48604	GrpE protein homolog, mitochondrial	42.72	11	48	11	647200.38498	45	
P48605	T-complex protein 1 subunit gamma	34.56	21	73	0	712171.67795	56	
P48607	Protein spaetzle	4.29	1	2	0	3689.3062	1	
P48609	Cyclin-dependent kinase 5 homolog	16.67	5	8	4	39213.856999999996	5	
P48610	Arginine kinase 1	75.28	38	429	0	36961113.728029996	361	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	63.1	8	28	8	637765.7801000001	21	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	41.57	12	53	0	724722.09198	47	
